,ParticleDeviceId,FirmwareGeneratedShowerEventId,ShowerEventId,Water Used(gals),Water Saved(gals),Savings Percent(%),Max Temperature,Flow Rate,Average Voltage
0,3.90E+23,,08d95629-7174-4534-8260-1847413f4a02,38.14,6.49,14.54,99.95,2.25,4.55
1,3.90E+23,,08d95629-af80-4f57-854f-72364db02f2c,16.2,1.8,10,112.35,2.25,4.48
2,3.90E+23,,08d95629-c861-44b0-849a-b1923489a750,10.39,1.15,10,110.88,2.25,4.5
3,3.90E+23,,08d95629-edba-43ac-8489-fefc9b70b2a8,10.73,1.19,10,104.85,2.25,4.51
4,3.90E+23,,08d956aa-5e8f-444b-8089-a6f8cf141c0c,10.2,1.13,10,92.32,2.25,4.37
5,3.90E+23,,08d956aa-6546-4b5a-80ea-fe953174e75f,22.91,9.84,30.04,108.23,2.25,4.44
6,3.90E+23,,08d9577f-f145-4805-8c16-f83038060098,8.89,0.99,10,104.68,2.25,4.47
7,3.90E+23,,08d95780-12b3-4e1d-8d36-2dd4d524a74d,18.26,9.7,34.68,98.53,2.25,4.4
8,3.90E+23,,08d9579b-94bb-4b80-8c0e-a551d7a0cf03,10.2,1.13,10,107.26,2.25,4.44
9,3.90E+23,,08d957c4-a714-4f59-8c1e-5f6f1a2060a2,37.16,7.25,16.33,116.89,2.25,4.34
10,3.90E+23,,08d9682c-835b-4923-8b10-70e5d58fb95f,11.36,1.26,10,106.52,2.25,4.41
11,3.90E+23,,08d9682c-869e-499c-83a0-359198d1952b,32.1,12.07,27.32,102.49,2.25,4.28
12,3.90E+23,,08d9682c-8e18-46fb-8fee-dcd98f3c96ae,12.41,19.25,60.8,112.17,2.25,4.3
13,3.90E+23,,08d9682c-941c-448d-85d3-7ebff96a5d88,9.56,1.06,10,102.56,2.25,4.31
14,3.90E+23,,08d9682c-9816-4aa3-801a-302fa686912b,12.94,1.44,10,112.1,2.25,4.3
15,3.90E+23,,08d9682c-9816-4b2d-8530-625854004746,9.56,1.06,10,103.48,2.25,4.3
16,3.90E+23,,08d9682c-9b4d-4788-8e20-c4db9908083d,12.04,7.84,39.43,101.32,2.25,4.27
17,3.90E+23,,08d9682c-9b4d-47e6-8470-c0554c5000e9,9.41,1.05,10,104.86,2.25,4.23
18,3.90E+23,,08d9682c-9b4d-4826-8924-d5a0e9cb146a,9.86,1.1,10,108.48,2.25,4.29
19,3.90E+23,,08d9682c-9b4d-484a-8f01-c3080226a71e,25.24,8.22,24.57,112.42,2.25,4.2
20,3.90E+23,,08d9682c-a291-411d-8455-e939daf372b2,14.18,1.57,10,110.1,2.25,4.23
21,3.90E+23,,08d9682c-a291-4191-8c7b-f10da0f731a5,30.71,7.75,20.14,106.43,2.25,4.13
22,3.90E+23,,08d9682c-a67c-477e-8975-0511cb1af642,11.51,1.28,10,106.79,2.25,4.18
23,3.90E+23,,08d9682c-a67c-47ab-8d43-a393f4a5c08e,18.49,6.97,27.38,109.42,2.25,4.1
24,3.90E+23,,08d9682c-ada5-44bc-8c2d-6014eabe12d1,28.99,14.97,34.06,110.84,2.25,4.04
25,3.90E+23,,08d9682c-bad3-4f4d-8575-90af2e71dc5e,32.74,11.47,25.95,105.37,2.25,3.97
26,3.90E+23,,08d9682c-c0cd-45b0-870a-5a722709915b,14.36,1.76,10.93,111.04,2.25,3.99
27,3.90E+23,,08d9682c-c47e-4cab-815a-299e05e6a410,33.68,8.41,19.98,123.04,2.25,3.96
28,3.90E+23,,08d9682c-c47e-4cd6-8ebd-277624fc8bdb,18.34,2.04,10,111.85,2.25,3.94
29,3.90E+23,,08d9682c-cdc3-4488-8f95-1d45e54ff4b1,10.13,1.13,10,106.2,2.25,4
30,3.90E+23,,08d9682c-cdc3-44e1-8c93-1985f98fdcc9,35.66,8.8,19.78,111.18,2.25,3.87
31,3.90E+23,,08d9682c-d242-497e-8239-af2c5480e010,10.91,1.21,10,100.54,2.25,3.95
32,3.90E+23,,08d9682c-d242-499e-8569-dc378735c678,22.99,4.68,16.91,116.11,2.25,3.87
33,3.90E+23,,08d9682c-d8cd-4702-80d3-666600d90131,10.65,1.18,10,105.42,2.25,3.92
34,3.90E+23,,08d9682c-ddac-4c02-83dc-a3dd9b121485,31.28,6.39,16.97,105.26,2.25,3.38
35,3.90E+23,,08d9682c-e2dc-497e-86de-9463116c8f26,8.21,0.91,10,100.53,2.25,3.9
36,3.90E+23,,08d9682c-e2dc-49f4-8a4e-06effe27d2cc,19.09,6.41,25.15,126.66,2.25,3.79
37,3.90E+23,,08d9682c-ee70-425c-8166-fbec92fd29e1,27.97,5.94,17.52,108.14,2.25,3.76
38,3.90E+23,,08d9682c-f74c-4013-8133-93e885584619,25.16,4.63,15.54,103.03,2.25,3.7
39,3.90E+23,,08d9682c-fd2e-4ee1-8376-0043c86e993f,13.42,1.49,10,106.23,2.25,3.69
40,3.90E+23,,08d9682c-fd2e-4f52-8dab-60f70defc898,37.09,7.37,16.58,106.77,2.25,3.56
41,3.90E+23,,08d9682d-06ba-4dc5-868e-86d44ecbec39,23.29,20.21,46.47,96.75,2.25,3.53
42,3.90E+23,,08d9682d-1056-4f62-8386-f97bc3d9943c,13.2,1.47,10,109.18,2.25,3.48
43,3.90E+23,,08d9682d-1056-4f90-8e4a-481064a8594a,23.44,7.69,24.7,106.5,2.25,3.38
44,3.90E+23,,08d9682d-1503-46bd-8b46-a201e96791e7,1.2,1.09,47.64,103.73,2.25,3.51
45,3.90E+23,,08d96843-a440-40bd-8491-c781c64414cf,0.34,4.54,93.08,108.77,2.25,3.42
46,3.90E+23,,08d968e2-e984-40c6-8c05-1f43810ec726,0,0,,103.17,2.25,4.87
47,3.90E+23,,08d96915-3358-45d8-805c-3ada046c3d40,14.44,6.1,29.72,94.93,2.25,4.81
48,3.90E+23,,08d969a9-f7d6-4aa0-8360-3e07fd2f1562,14.63,1.63,10,105.3,2.25,4.76
49,3.90E+23,,08d969cd-96e8-416f-84b0-fadff553262d,12.64,2.15,14.56,99.72,2.25,4.7
50,3.90E+23,,08d96a9f-2593-4f1c-84b5-c18535fa6b5a,10.65,1.18,10,104.74,2.25,4.7
51,3.90E+23,,08d96aa1-3ebc-40a8-81f5-4fb5c703056d,12.6,1.98,13.6,102.97,2.25,4.62
52,3.90E+23,,08d96af2-f746-4d2c-84df-d24db8b04e48,12.41,1.38,10,109.89,2.25,4.62
53,3.90E+23,,08d96b2b-8e34-40b8-81b8-e3d53b7e8e67,38.48,5.94,13.38,105.4,2.25,4.52
54,3.90E+23,,08d96ba5-1d72-4648-88c3-952b4c53cccc,13.61,1.51,10,108.46,2.25,4.52
55,3.90E+23,,08d96c05-84bf-4372-81f4-e7590220e4d7,12.08,1.34,10,107.02,2.25,4.51
56,3.90E+23,,08d96c70-6852-4832-85a4-2f646022634f,20.06,2.23,10,113.81,2.25,4.48
57,3.90E+23,,08d96cda-dbe6-484b-8323-a70c1df5d641,11.96,1.33,10,104.99,2.25,4.48
